wallet,chain,risk_score,actionability,campaign_terror_score,is_top_campaign_lead,risk_categories,risk_tags,distinct_senders,distinct_recipients,funnel_ratio_recipients,funnel_ratio_out_cnt,is_single_recipient,country_codes,hits_interesting_country,anchor_exchange,anchor_usdt
0xad285fdedfc0d5f944a33e478356524293c7ec68,ethereum,68.2,93.2,71.5,True,[],[],2469,5,493.8,493.8,False,"['AE', 'GLOBAL', 'MT']",True,Binance 15,49832.919713
0x7af4a738b30775a836a050a4c85f4c58689aed38,ethereum,76.3,76.3,71.4,True,[],[],2907,23,126.39,126.39,False,[],False,,0.0
0xf8cd17784f425120de2f0d65756d8a707c13d040,ethereum,45.2,70.2,88.6,True,[],[],207,0,207.0,207.0,True,"['AE', 'GLOBAL', 'MT']",True,Binance 16,51793.173258
0xe65b1448e8e7bf9dc799945cf18c8394104b3537,tron,69.5,69.5,95.2,True,[],[],1878,1,1878.0,78.25,True,[],False,,0.0
0x186b8b2ae81def818ccb8408861ce648595ae234,ethereum,68.4,68.4,91.0,True,[],[],615,0,615.0,615.0,True,[],False,,0.0
0xd4b13bad3b585c1786a86c9527909fdb879f685c,tron,67.2,67.2,91.1,True,[],[],1341,1,1341.0,121.91,True,[],False,,0.0
0x9837ab290fb9b91951199da7b114fbbb4706d245,tron,66.8,66.8,95.4,True,[],[],1385,1,1385.0,62.95,True,[],False,,0.0
0xd9fcd35ebcf3f404fcb4693deb325497636d947f,tron,66.6,66.6,93.8,True,[],[],441,0,441.0,441.0,True,[],False,,0.0
0x970775693b164145e6ce9d092f97555cfe89e6f9,tron,65.9,65.9,93.2,True,[],[],1253,1,1253.0,208.83,True,[],False,,0.0
0x92ea49b6e51de747f6cec1b4e07c78ce4bd72bc6,ethereum,40.1,65.1,87.7,True,[],[],259,1,259.0,10.79,True,"['AE', 'GLOBAL', 'MT']",True,Binance 14,20843.591382
0x9f006a5328d2f5fd44bbb728168620ba60863a70,ethereum,63.2,63.2,84.8,True,[],[],570,0,570.0,570.0,True,[],False,,0.0
0xd288dbf263e54c6950484d0190684f80b8d9d734,ethereum,38.2,63.2,72.4,True,[],[],91,1,91.0,91.0,True,"['AE', 'GLOBAL', 'MT']",True,Binance 16,30.0
0x8fe0ed7219253ba556443eb7e798dc996704b5e0,ethereum,37.2,62.2,76.7,True,[],[],162,1,162.0,12.46,True,"['AE', 'GLOBAL', 'MT']",True,Binance 18,2066.5072
0xd1fc584ed96ed22a10e26eeff3bd7da50f0e5978,tron,62.1,62.1,94.2,True,[],[],926,1,926.0,231.5,True,[],False,,0.0
bc1qj9cu7kul0wvvxe4uuay05mwuewzdz0nv5v8hkl,bitcoin,60.2,60.2,100.0,True,[],[],3542,0,3542.0,147.58,True,[],False,,0.0
0x8713173887299b893e17d98a473444cf19b28779,tron,59.4,59.4,95.1,True,[],[],638,1,638.0,638.0,True,[],False,,0.0
bc1qlck5stwval5t0t4k2peerv757xalyvl3df4p8s,bitcoin,59.1,59.1,99.6,True,[],[],1292,0,1292.0,646.0,True,[],False,,0.0
bc1qthg00j0p3tmp7ev3ut8535492lurc7g06ended,bitcoin,58.7,58.7,99.9,True,[],[],2812,0,2812.0,165.41,True,[],False,,0.0
bc1qpqv6qa6jngqc6wz2dcmxh2f74qxycktedayd2g,bitcoin,57.3,57.3,99.5,True,[],[],915,0,915.0,61.0,True,[],False,,0.0
0x2b9962048a732264579bb837adc56779de2e8949,ethereum,31.3,56.3,83.4,True,[],[],177,1,177.0,9.83,True,"['AE', 'GLOBAL', 'MT']",True,Binance 14,15297.528576
bc1qtfcnuueaxzpwylug8vl9w6aexfv8j8342ks4xz,bitcoin,56.2,56.2,99.8,True,[],[],2176,0,2176.0,272.0,True,[],False,,0.0
bc1qwctfjys6g2aj5tftk9gf2emqe4kmjwqrqecd8s,bitcoin,55.5,55.5,99.9,True,[],[],2651,0,2651.0,883.67,True,[],False,,0.0
bc1pt5zrlm55lmfwq7sjsuzgpgkmm7fymkna375l8kyuu5p6cq77545q554mgr,bitcoin,54.8,54.8,99.9,True,[],[],2580,0,2580.0,2580.0,True,[],False,,0.0
0xb08c35956defc2b017478cf8001c16ad0cbe1f1b,tron,54.7,54.7,94.4,True,[],[],477,1,477.0,477.0,True,[],False,,0.0
0x75e6766af534f83d9a9f6d8448cb735473b8aa4c,ethereum,28.8,53.8,75.0,True,[],[],92,1,92.0,4.38,True,"['AE', 'GLOBAL', 'MT']",True,Binance 16,4183.633361
