wallet,chain,asset,raw_value_in,raw_value_out,value_unit,value_in_usd_est,distinct_senders,distinct_recipients,out_cnt,active_days,hours_of_day_active,night_share,round100_share,pass_through,is_accumulator,informal_score,anomaly_score,is_anomaly,is_sanctioned,hops_to_sanctioned,risk_score,attributability,risk_attribution_score,risk_tags,risk_categories,risk_source_count,is_known_risk,confirmed,label_name,label_tags,campaign_terror_score,is_top_campaign_lead,anchor_exchange,anchor_exchange_addr,anchor_usdt,anchor_links,has_exchange_anchor,actionability,components_bridged,total_bridged_size,is_bridge_wallet,country_codes,country_source,hits_interesting_country,funnel_ratio_recipients,funnel_ratio_out_cnt,is_single_recipient
bc1qthg00j0p3tmp7ev3ut8535492lurc7g06ended,bitcoin,BTC,1.04694816,0.03174066,BTC,68051.6304,1912,0,18,3,16,0.1055234954657873,0.0,0.030317317717049142,True,0.5559634635434099,-0.2061412595790637,True,False,,60.2,,0,[],[],0,False,False,,,100.0,True,,,0.0,,False,60.2,0,,False,[],,False,1912.0,106.22,True
bc1qkyv0cp8w8ds32h9s39fz6d0s03yp9wmchqzgrh,bitcoin,BTC,4.9982614,1.676753,BTC,324886.991,1967,0,1,3,24,0.16501650165016502,0.0,0.33546724867170813,True,0.46714344973434163,-0.1948005270377684,True,False,,58.6,,0,[],[],0,False,False,,,100.0,True,,,0.0,,False,58.6,0,,False,[],,False,1967.0,1967.0,True
bc1qdcp4aalcaau4kc542xm3mk3v4t4aergf2ed9uz,bitcoin,BTC,0.54247688,0.0,BTC,35260.997200000005,968,0,0,1,1,0.0,0.0,0.0,True,0.54915,-0.18041425301553748,True,False,,56.6,,0,[],[],0,False,False,,,99.9,True,,,0.0,,False,56.6,0,,False,[],,False,968.0,968.0,True
bc1qp6rcrzg4entn82vfdgnfq750fhst2zm77xa45c,bitcoin,BTC,36.85970109,0.99846254,BTC,2395880.5708500003,1029,0,12,3,18,0.22492970946579194,0.0,0.027088188739297234,True,0.5547176377478594,-0.18005597794946948,True,False,,56.5,,0,[],[],0,False,False,,,99.9,True,,,0.0,,False,56.5,0,,False,[],,False,1029.0,85.75,True
bc1qwjzqnpxxerz3qsdz6rj34mdhnudzjngggth4r4,bitcoin,BTC,1.6254442,0.04116908,BTC,105653.873,1083,0,11,3,21,0.07397737162750218,0.0,0.025327894984029597,True,0.4045155789968059,-0.1795433530214261,True,False,,56.4,,0,[],[],0,False,False,,,99.9,True,,,0.0,,False,56.4,0,,False,[],,False,1083.0,98.45,True
bc1q2wc7hmmdngd8cs3m3692xvtpcclvf6fkhm9ra4,bitcoin,BTC,3.6295488,0.2308054,BTC,235920.672,1558,0,3,3,22,0.12441037735849056,0.0,0.06359065898218533,True,0.412468131796437,-0.1779789913264066,True,False,,56.2,,0,[],[],0,False,False,,,100.0,True,,,0.0,,False,56.2,0,,False,[],,False,1558.0,519.33,True
bc1qmc53xmxy9ptfc3qlgwykhhggyuw4kp5960vdm5,bitcoin,BTC,24.20281441,0.26033613,BTC,1573182.9366499998,602,0,1,3,10,0.2574750830564784,0.0,0.010756440370523009,True,0.4004012880741046,-0.1696985717620716,True,False,,55.1,,0,[],[],0,False,False,,,99.7,True,,,0.0,,False,55.1,0,,False,[],,False,602.0,602.0,True
bc1q58m3vyvkmcpfvdxq9gsztuezjn4putvv4cv4a4,bitcoin,BTC,4.77811139,0.0,BTC,310577.24035000004,884,0,0,3,5,0.3397291196388262,0.0,0.0,True,0.399,-0.16579753840333322,True,False,,54.5,,0,[],[],0,False,False,,,99.9,True,,,0.0,,False,54.5,0,,False,[],,False,884.0,884.0,True
bc1qwznelkc6r32u0cc4t8nuqxhx6fhpww2nd6na9z,bitcoin,BTC,2.57310203,2.04751319,BTC,167251.63194999998,780,0,10,3,13,0.175,0.0,0.7957372720272581,False,0.8078474544054517,-0.16318237899500032,True,False,,54.2,,0,[],[],0,False,False,,,99.8,True,,,0.0,,False,54.2,0,,False,[],,False,780.0,78.0,True
bc1q4au9xh3n455udazmjffyzgzsecsuwplhhc2qfd,bitcoin,BTC,1.0750076,0.1016248,BTC,69875.49399999999,1336,0,1,3,23,0.16654904728299225,0.0,0.09453402934081583,True,0.41850680586816313,-0.1512581309299399,True,False,,52.5,,0,[],[],0,False,False,,,99.9,True,,,0.0,,False,52.5,0,,False,[],,False,1336.0,1336.0,True
1249H99fDns4JcKb7PWZASkkUoZFQSDUiK,bitcoin,BTC,20.03184631,2.00078705,BTC,1302070.01015,246,0,1,3,24,0.2048780487804878,0.0,0.09988031153180309,True,0.41515106230636056,-0.14907624878389225,True,False,,52.2,,0,[],[],0,False,False,,,99.3,False,,,0.0,,False,52.2,0,,False,[],,False,246.0,246.0,True
bc1qtfcnuueaxzpwylug8vl9w6aexfv8j8342ks4xz,bitcoin,BTC,0.8809926,0.05718018,BTC,57264.519,514,0,2,3,17,0.1958955223880597,0.0,0.06490426820838223,True,0.5610808536416765,-0.1480862975957753,True,False,,52.1,,0,[],[],0,False,False,,,99.7,True,,,0.0,,False,52.1,0,,False,[],,False,514.0,257.0,True
