wallet,chain,asset,raw_value_in,raw_value_out,value_unit,value_in_usd_est,distinct_senders,distinct_recipients,out_cnt,active_days,hours_of_day_active,night_share,round100_share,pass_through,is_accumulator,informal_score,anomaly_score,is_anomaly,is_sanctioned,hops_to_sanctioned,risk_score,attributability,risk_attribution_score,risk_tags,risk_categories,risk_source_count,is_known_risk,confirmed,label_name,label_tags,campaign_terror_score,is_top_campaign_lead,anchor_exchange,anchor_exchange_addr,anchor_usdt,anchor_links,has_exchange_anchor,actionability,components_bridged,total_bridged_size,is_bridge_wallet,country_codes,country_source,hits_interesting_country,funnel_ratio_recipients,funnel_ratio_out_cnt,is_single_recipient
0xad285fdedfc0d5f944a33e478356524293c7ec68,ethereum,USDT,445592.76119200006,416564.100105,USDT,445592.76119200006,2469,5,5,4,8,0.2717699473471041,0.012555690562980963,0.9348538315358943,False,0.6979463760632765,-0.11080392167560726,True,False,,68.4,,0,[],[],0,False,False,,,71.5,True,Binance 15,0x21a31ee1afc51d94c2efccaa2092ad1028285549,49832.919713,3.0,True,93.4,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,493.8,493.8,False
0xd8b5fb5f84efe158fcc91fa5cca44cd97a49e37d,ethereum,USDT,121642.32089000002,121721.530716,USDT,121642.32089000002,98,18,22,13,15,0.2018348623853211,0.1834862385321101,1.0006511699663443,False,0.7970242375514466,-0.02426590117749694,True,False,,55.9,,0,[],[],0,False,False,,,24.4,False,Binance 15,0x21a31ee1afc51d94c2efccaa2092ad1028285549,525.700366,4.0,True,80.9,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,5.44,4.45,False
0x151311c5abdd48f55d02b422732c11359034b121,ethereum,USDT,56701.670253,106334.18805,USDT,56701.670253,50,18,23,10,11,0.11538461538461539,0.3076923076923077,1.875327262416472,False,0.46422994047063515,-0.06918355449507774,True,False,,55.4,,0,[],[],0,False,False,,,0.6,False,Binance 18,0x9696f59e4d72e237be84ffd425dcad154bf96976,941.172512,4.0,True,80.4,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,2.78,2.17,False
0x6c2c1922e27b85dab12128195fe71a0cb66cb5fd,tron,USDT,1707804.829743,1638050.0,USDT,1707804.829743,2173,3,15,8,10,0.10772442588726514,0.46179540709812106,0.9591552684896101,False,0.9611227203645887,-0.1311149801406949,True,False,,80.1,,0,[],[],0,False,False,,,41.1,False,,,0.0,,False,80.1,0,,False,[],,False,724.33,144.87,False
0x61a8a99099a4d46124cf2914bd8eb8dfafd7c99d,ethereum,USDT,56844.595181000004,56809.909825,USDT,56844.595181000004,76,14,18,10,13,0.04938271604938271,0.19753086419753085,0.999389821391294,False,0.7455419209178252,-0.02407230266658711,True,False,,54.6,,0,[],[],0,False,False,,,16.8,False,Binance 17,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,2130.53,3.0,True,79.6,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,5.43,4.22,False
0xbf8d7d490323d775ada8b20a35472acb7fc6a0c4,ethereum,USDT,48328.797908,48554.0,USDT,48328.797908,99,19,23,11,12,0.028846153846153848,0.19230769230769232,1.0046597908855235,False,0.799474545887936,-0.0035954438148536605,True,False,,52.4,,0,[],[],0,False,False,,,27.3,False,Binance 16,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,158.08305000000001,3.0,True,77.4,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,5.21,4.3,False
0x2d6e4c55851f9350818ff93322036cb327d88979,tron,USDT,1295229.093966,1308977.4547,USDT,1295229.093966,2356,1,24,8,24,0.2546721571111815,0.1419068736141907,1.010614616980153,False,0.6810854099373027,-0.15521834811420365,True,False,,77.2,,0,[],[],0,False,False,,,89.1,False,,,0.0,,False,77.2,0,,False,[],,False,2356.0,98.17,True
0x7af4a738b30775a836a050a4c85f4c58689aed38,ethereum,USDT,414029.01654300006,416815.60420699994,USDT,414029.01654300006,2904,23,23,89,24,0.2090066225165563,0.003708609271523179,1.0067304163540685,False,0.6447243774337933,-0.16380568290777509,True,False,,76.3,,0,[],[],0,False,False,,,71.4,True,,,0.0,,False,76.3,0,,False,[],,False,126.26,126.26,False
0x10b9624a8ffb4dbd931ce03d10b3c0321146d3a4,tron,USDT,1961797.1553170003,1961797.155317,USDT,1961797.1553170003,1353,1,25,1,12,0.0,0.21148255813953487,0.9999999999999999,False,0.8647083333333333,-0.11578301120368373,True,False,,75.1,,0,[],[],0,False,False,,,73.6,False,,,0.0,,False,75.1,0,,False,[],,False,1353.0,54.12,True
0x8b7710171181ec25ce9aa254eb074ec85559347b,ethereum,USDT,306202.73140800005,306202.7314,USDT,306202.73140800005,2439,2,25,5,24,0.6799037304452467,0.2647412755716005,0.9999999999738733,False,0.8294037940327151,-0.12922329172347646,True,False,,74.9,,0,[],[],0,False,False,,,67.4,False,,,0.0,,False,74.9,0,,False,[],,False,1219.5,97.56,False
