"wallet","chain","asset","raw_value_in","raw_value_out","value_unit","value_in_usd_est","distinct_senders","distinct_recipients","out_cnt","active_days","hours_of_day_active","night_share","round100_share","pass_through","is_accumulator","informal_score","anomaly_score","is_anomaly","is_sanctioned","hops_to_sanctioned","risk_score","attributability","risk_attribution_score","risk_tags","risk_categories","risk_source_count","is_known_risk","confirmed","label_name","label_tags"
"bc1qtfcnuueaxzpwylug8vl9w6aexfv8j8342ks4xz","bitcoin","BTC",2.1872882,0.43641709,"BTC",142173.73299999998,1555,0,7,7,21,0.03582089552238806,0.0,0.19952427393884353,True,0.4384548547877687,-0.3057587749213402,True,False,"",60.2,"",0,"[]","[]",0,False,False,"",""
"bc1qwctfjys6g2aj5tftk9gf2emqe4kmjwqrqecd8s","bitcoin","BTC",18.73881584,0.07540779,"BTC",1218023.0296,1964,0,3,7,21,0.16325757575757577,0.0,0.004024149158829665,True,0.40010482983176593,-0.282222760726221,True,False,"",57.1,"",0,"[]","[]",0,False,False,"",""
"bc1qahqft2as8v8l0k65kpzrjknzvv47mntrqnda03","bitcoin","BTC",26.12798869,0.33842611,"BTC",1698319.26485,532,0,14,7,10,0.30446672743846853,0.0,0.012952627698033499,True,0.39904052553960667,-0.2819061375808707,True,False,"",57.0,"",0,"[]","[]",0,False,False,"",""
"bc1q4r4hcqvw70r37m7wpf7597nmvc7c9zrsp9x5c5","bitcoin","BTC",3.5765048,0.0,"BTC",232472.812,3500,0,0,7,24,0.11372130272290443,0.0,0.0,True,0.40005,-0.2805690456432307,True,False,"",56.9,"",0,"[]","[]",0,False,False,"",""
"bc1qxdpsshvzapqf5txyrz9k5ek2mhj3ysajhlz78c","bitcoin","BTC",10.1981254,0.6493826,"BTC",662878.1510000001,2699,0,6,6,24,0.11833550065019506,0.0,0.06367666355622574,True,0.4126353327112452,-0.27961373932105615,True,False,"",56.7,"",0,"[]","[]",0,False,False,"",""
"bc1q9hcmvzjg85shwq87xw6pckqdmuzyuu893v5mup","bitcoin","BTC",43.27270198,2.69751945,"BTC",2812725.6287000002,1647,0,10,7,24,0.18474923234390994,0.0,0.062337670784846144,True,0.41116753415696927,-0.27659431817817826,True,False,"",56.4,"",0,"[]","[]",0,False,False,"",""
"bc1qg4s6r2pm38hw5jezws85wcsd6np747at830lr3","bitcoin","BTC",7.3884,0.1656076,"BTC",480246.0,2457,0,2,7,24,0.13020991785822938,0.0,0.02241454171403822,True,0.4040829083428076,-0.27544556786093655,True,False,"",56.2,"",0,"[]","[]",0,False,False,"",""
"bc1q4tqadq8d5h8qn996f9apnr63qelezyxhcnjan5","bitcoin","BTC",4.5496718,0.0,"BTC",295728.66699999996,2533,0,0,7,23,0.08261359369132558,0.0,0.0,True,0.39974999999999994,-0.27562799264278226,True,False,"",56.2,"",0,"[]","[]",0,False,False,"",""
"bc1q58m3vyvkmcpfvdxq9gsztuezjn4putvv4cv4a4","bitcoin","BTC",5.48529889,0.0,"BTC",356544.42785000004,1840,0,0,6,11,0.35102925243770317,0.0,0.0,True,0.39885000000000004,-0.27358583793230806,True,False,"",56.0,"",0,"[]","[]",0,False,False,"",""
"bc1q9uc0j5kl5ncwzwla6p4qjwc6ra6fpx7c5lmkhe","bitcoin","BTC",2.7002638,0.0753172,"BTC",175517.147,2122,0,3,7,19,0.037793223284100785,0.0,0.027892534055376367,True,0.4050285068110753,-0.26134244874670953,True,False,"",54.4,"",0,"[]","[]",0,False,False,"",""
