"wallet","chain","asset","raw_value_in","raw_value_out","value_unit","value_in_usd_est","distinct_senders","distinct_recipients","out_cnt","active_days","hours_of_day_active","night_share","round100_share","pass_through","is_accumulator","informal_score","anomaly_score","is_anomaly","is_sanctioned","hops_to_sanctioned","risk_score","attributability","risk_attribution_score","risk_tags","risk_categories","risk_source_count","is_known_risk","confirmed","label_name","label_tags"
"0x8b7710171181ec25ce9aa254eb074ec85559347b","ethereum","USDT",306202.73140800005,306202.7314,"USDT",306202.73140800005,2439,2,25,5,24,0.6799037304452467,0.2647412755716005,0.9999999999738733,False,0.8299442896883681,-0.17657441395904927,True,False,"",79.6,"",0,"[]","[]",0,False,False,"",""
"0x5da5a370ecaf1663b10a5ffadde833ddb58d2f1e","ethereum","USDT",1850000.0,1850000.0,"USDT",1850000.0,1201,1,1,1,2,0.0,0.1440466278101582,1.0,False,0.9023676880222842,-0.144901505522403,True,False,"",76.0,"",0,"[]","[]",0,False,False,"",""
"0x6438e3764fdc42366ef3c5fa19ca06851833ad4c","ethereum","USDT",1625736.9724080001,950000.0,"USDT",1625736.9724080001,1721,2,19,5,7,0.13974001857010213,0.060352831940575676,0.5843503691700412,False,0.8271764805192451,-0.13056364741240267,True,False,"",71.7,"",0,"[]","[]",0,False,False,"",""
"0x186b8b2ae81def818ccb8408861ce648595ae234","ethereum","USDT",1550996.149432999,0.0,"USDT",1550996.149432999,782,0,0,49,24,0.2355884707766213,0.07986389111289031,0.0,True,0.42005571030640676,-0.18433869912330758,True,False,"",70.7,"",0,"[]","[]",0,False,False,"",""
"0x7af4a738b30775a836a050a4c85f4c58689aed38","ethereum","USDT",301732.7650590002,344953.592712,"USDT",301732.7650590002,1765,24,25,89,24,0.19528487229862476,0.002357563850687623,1.1432420759626438,False,0.616198381464853,-0.1488043548546124,True,False,"",69.5,"",0,"[]","[]",0,False,False,"",""
"0xd825011df49642535a4c0c07ed7b191407d2f7ea","ethereum","USDT",129436.38211600001,129436.01,"USDT",129436.38211600001,1078,4,13,2,24,0.42091152815013405,0.2806076854334227,0.9999971251050599,False,0.8285509570544382,-0.03757268167865846,True,False,"",55.9,"",0,"[]","[]",0,False,False,"",""
"0xa52b7763929343d2caa9182fb5cfd24772094290","ethereum","USDT",661907.7282759998,661907.6947270001,"USDT",661907.7282759998,910,9,22,22,12,0.053783044667274384,0.10665451230628988,0.999999949314688,False,0.886211689027283,-0.014043987814911896,True,False,"",53.3,"",0,"[]","[]",0,False,False,"",""
"0x7ed7f9f3cf6f0748c63a572ab383023c6e2fff4f","ethereum","USDT",540694.9102439997,526970.7165679999,"USDT",540694.9102439997,1095,5,15,79,24,0.09238451935081149,0.06429463171036205,0.9746174905367494,False,0.7591296262410546,-0.023541747571095395,True,False,"",51.8,"",0,"[]","[]",0,False,False,"",""
"0xbf8d7d490323d775ada8b20a35472acb7fc6a0c4","ethereum","USDT",48325.417202,48361.853853,"USDT",48325.417202,98,19,23,11,11,0.028846153846153848,0.19230769230769232,1.0007539852340581,False,0.7941388965465032,-0.011044613637856138,True,False,"",50.5,"",0,"[]","[]",0,False,False,"",""
"0x06798c9e490521a2958fc658293a1f89f5e2fbcf","ethereum","USDT",208096.31262900005,0.0,"USDT",208096.31262900005,299,0,0,34,8,0.44485981308411215,0.026168224299065422,0.0,True,0.3512534818941504,-0.06504203110982787,True,False,"",48.6,"",0,"[]","[]",0,False,False,"",""
"0xc7d852aa12b4b0ce0db84df8942d19efbd1058ba","ethereum","USDT",13906.875051,13906.875015000001,"USDT",13906.875051,70,25,25,56,23,0.14084507042253522,0.0,0.9999999974113524,False,0.4222841220449446,-0.046736186034743055,True,False,"",47.3,"",0,"[]","[]",0,False,False,"",""
"0x61a8a99099a4d46124cf2914bd8eb8dfafd7c99d","ethereum","USDT",54963.19433099999,56798.809152,"USDT",54963.19433099999,76,13,17,9,12,0.0625,0.1875,1.033397164108504,False,0.7373317092395805,9.579203466381081e-05,False,False,"",47.2,"",0,"[]","[]",0,False,False,"",""
"0x8d56e0e3847148019da2948b1ed6bf89924044eb","ethereum","USDT",1959565.719527001,1959565.0,"USDT",1959565.719527001,410,6,24,34,24,0.024623803009575923,0.17920656634746923,0.999999632813029,False,0.7993035477325222,0.01194966251807883,False,False,"",46.7,"",0,"[]","[]",0,False,False,"",""
"0x03eb0ddb3dffd32bc2935e915f084892de38ac87","ethereum","USDT",693511.9761219998,704914.85,"USDT",693511.9761219998,360,14,25,76,24,0.2236842105263158,0.4631578947368421,1.0164422162422675,False,0.7671850943560033,0.01147414748819342,False,False,"",46.0,"",0,"[]","[]",0,False,False,"",""
"0xeb187b6b15120eb3a6b09a0b73c6cd83ddb2c064","ethereum","USDT",29991.866147000008,29991.866147,"USDT",29991.866147000008,320,1,1,1,2,0.0,0.04375,0.9999999999999998,False,0.82033426183844,0.02038394565537993,False,False,"",45.8,"",0,"[]","[]",0,False,False,"",""
"0x493a30a817541c033d128b151a7fcc4a0c6aefb4","ethereum","USDT",163842.21253999998,163842.01,"USDT",163842.21253999998,675,2,19,2,6,0.3718518518518519,0.017777777777777778,0.9999987638106393,False,0.7096097806172811,0.00774924937210919,False,False,"",45.2,"",0,"[]","[]",0,False,False,"",""
"0x22a4247ad0f3f30f8e2ded14a290071c78a29453","ethereum","USDT",464786.2659759999,464690.0,"USDT",464786.2659759999,886,3,23,26,24,0.2820773930753564,0.02240325865580448,0.9997928811949773,False,0.7168109439270177,0.013728885915942124,False,False,"",44.4,"",0,"[]","[]",0,False,False,"",""
"0xa275ec9ea4126f315ce78087b5fe94fcebb70efc","ethereum","USDT",34341.371883,33000.1,"USDT",34341.371883,52,4,5,23,22,0.3516483516483517,0.0,0.9609429731703883,False,0.38007160299062365,-0.029555499816407704,True,False,"",43.3,"",0,"[]","[]",0,False,False,"",""
"0xd878319d64e05a38552761ed95e43948a0a19aad","ethereum","USDT",82579.71782400002,160000.0,"USDT",82579.71782400002,777,3,12,21,13,0.0011337868480725624,0.05895691609977324,1.9375217573521357,False,0.71388840618974,0.02848516688967173,False,False,"",41.8,"",0,"[]","[]",0,False,False,"",""
