"wallet","chain","asset","raw_value_in","raw_value_out","value_unit","value_in_usd_est","distinct_senders","distinct_recipients","out_cnt","active_days","hours_of_day_active","night_share","round100_share","pass_through","is_accumulator","informal_score","anomaly_score","is_anomaly","is_sanctioned","hops_to_sanctioned","risk_score","attributability","risk_attribution_score","risk_tags","risk_categories","risk_source_count","is_known_risk","confirmed","label_name","label_tags"
"0x6c2c1922e27b85dab12128195fe71a0cb66cb5fd","tron","USDT",1737317.004911,1987050.0,"USDT",1737317.004911,1749,2,15,7,7,0.1407528641571195,0.43753409710856517,1.1437463596931716,False,0.937495938789335,-0.1205985437909185,True,False,"",72.5,"",0,"[]","[]",0,False,False,"",""
"0x10b9624a8ffb4dbd931ce03d10b3c0321146d3a4","tron","USDT",1961797.1553170003,1961797.155317,"USDT",1961797.1553170003,1353,1,25,1,12,0.0,0.21148255813953487,0.9999999999999999,False,0.8695019157088122,-0.1315384747275139,True,False,"",72.4,"",0,"[]","[]",0,False,False,"",""
"0x73a25bf6d4bcd7e8881780a7f6f70dcd96c2fa97","tron","USDT",1683217.9243540002,1290000.0,"USDT",1683217.9243540002,1448,1,5,7,8,0.0,0.10414560161779575,0.7663891771441819,False,0.7661897128234724,-0.12542220446247043,True,False,"",68.9,"",0,"[]","[]",0,False,False,"",""
"0x7b160f8bd4331024b6f1175259d2ca7f78599e44","tron","USDT",1323752.950806,0.0,"USDT",1323752.950806,1518,0,0,8,24,0.18301514154048718,0.02040816326530612,0.0,True,0.3314176245210728,-0.19659471743904033,True,False,"",68.4,"",0,"[]","[]",0,False,False,"",""
"0xe65b1448e8e7bf9dc799945cf18c8394104b3537","tron","USDT",292838.16387499997,298691.5937629999,"USDT",292838.16387499997,1807,1,25,8,24,0.11621472053126729,0.0011068068622025456,1.0199886169566974,False,0.6105999777580858,-0.13735409437854285,True,False,"",66.8,"",0,"[]","[]",0,False,False,"",""
"0xc93b59594d1800be4b4d80dfe6068229cae2af4b","tron","USDT",920762.7506659998,932000.0,"USDT",920762.7506659998,2233,1,12,8,24,0.08771148708815672,0.024933214603739984,1.0122042831618374,False,0.6327315571607359,-0.13256579898011367,True,False,"",66.6,"",0,"[]","[]",0,False,False,"",""
"0xc66bc261c088fb8ec7f8d18452f1b39c2b20cf1a","tron","USDT",482017.81944799965,482017.819448,"USDT",482017.81944799965,1223,1,7,7,1,0.0,0.1643835616438356,1.0000000000000007,False,0.8454022988505746,-0.09399414238178116,True,False,"",66.3,"",0,"[]","[]",0,False,False,"",""
"0x20276073f25118fe777ba0acc0a4c0e541a5ffcb","tron","USDT",427443.617121,453900.0,"USDT",427443.617121,1789,1,10,8,24,0.070506454816286,0.004468718967229395,1.0618944389840093,False,0.6042494646936195,-0.12247959722226642,True,False,"",64.4,"",0,"[]","[]",0,False,False,"",""
"0x4f06b3ed3b08a9942b2888374aaca7bf193e8284","tron","USDT",332452.08505299996,221496.258067,"USDT",332452.08505299996,1563,4,6,5,11,0.0012795905310300703,0.010236724248240563,0.6662501696498272,False,0.7548592293322643,-0.09503993728907079,True,False,"",64.2,"",0,"[]","[]",0,False,False,"",""
"0x58a76374593e6783688988ce4ca0490373b1af15","tron","USDT",1417082.9852589995,1346660.0,"USDT",1417082.9852589995,635,1,8,8,17,0.24582104228121926,0.24778761061946902,0.9503042616476491,False,0.866650890643706,-0.07070340693316368,True,False,"",63.4,"",0,"[]","[]",0,False,False,"",""
"0xd4b13bad3b585c1786a86c9527909fdb879f685c","tron","USDT",902747.1338400001,833900.0,"USDT",902747.1338400001,1351,1,11,8,24,0.8055992450456119,0.049072035231204784,0.9237359707284295,False,0.6258966194330422,-0.1077791151327604,True,False,"",62.8,"",0,"[]","[]",0,False,False,"",""
"0x970775693b164145e6ce9d092f97555cfe89e6f9","tron","USDT",940549.2628390004,937755.8267010001,"USDT",940549.2628390004,1257,1,6,8,24,0.17776735459662288,0.06941838649155722,0.9970299948675007,False,0.6478734319236917,-0.10201527586062331,True,False,"",62.5,"",0,"[]","[]",0,False,False,"",""
"0xde95b5237cacdc3e2ce0325616179eee4a316cdd","tron","USDT",1517957.0,1588966.0,"USDT",1517957.0,172,13,16,4,24,0.22895622895622897,0.98989898989899,1.0467793224709263,False,0.7532878136667343,-0.06594372995009345,True,False,"",59.9,"",0,"[]","[]",0,False,False,"",""
"0x108828aeda605e33435d7abbd987b178434fe7eb","tron","USDT",1898644.5933490004,1249561.430456,"USDT",1898644.5933490004,923,1,1,8,24,0.2210184182015168,0.013001083423618635,0.6581334046578516,False,0.5552665276748653,-0.09239585935316741,True,False,"",58.8,"",0,"[]","[]",0,False,False,"",""
"0x21b91f5dbec41ade3cf11a47c88356fe14c3ffd9","tron","USDT",1097584.7033799996,1250000.0,"USDT",1097584.7033799996,846,3,21,8,23,0.018957345971563982,0.3009478672985782,1.138864268197834,False,0.761269291954303,-0.05198903723991766,True,False,"",58.0,"",0,"[]","[]",0,False,False,"",""
"0x67944bdcb2128abe1a7dda416565acb1abb220a5","tron","USDT",1101619.887493,880906.6298,"USDT",1101619.887493,737,8,24,8,24,0.20260955194485475,0.23559822747415066,0.7996466292967116,False,0.6845270270087677,-0.06485023917198529,True,False,"",58.0,"",0,"[]","[]",0,False,False,"",""
