wallet,chain,asset,raw_value_in,raw_value_out,value_unit,value_in_usd_est,distinct_senders,distinct_recipients,out_cnt,active_days,hours_of_day_active,night_share,round100_share,pass_through,is_accumulator,informal_score,anomaly_score,is_anomaly,is_sanctioned,hops_to_sanctioned,risk_score,attributability,risk_attribution_score,risk_tags,risk_categories,risk_source_count,is_known_risk,confirmed,label_name,label_tags,campaign_terror_score,is_top_campaign_lead,anchor_exchange,anchor_exchange_addr,anchor_usdt,anchor_links,has_exchange_anchor,actionability,components_bridged,total_bridged_size,is_bridge_wallet,country_codes,country_source,hits_interesting_country,funnel_ratio_recipients,funnel_ratio_out_cnt,is_single_recipient
0xad285fdedfc0d5f944a33e478356524293c7ec68,ethereum,USDT,445592.761192,416564.100105,USDT,445592.761192,2469,5,5,4,8,0.2717699473471041,0.012555690562980963,0.9348538315358944,False,0.6991691577280904,-0.10624954868906111,True,False,,68.5,,0,[],[],0,False,False,,,71.5,True,Binance 15,0x21a31ee1afc51d94c2efccaa2092ad1028285549,49832.919713,3.0,True,93.5,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,493.8,493.8,False
0xe865f239279350272892c30d450be9465ca3b8fa,ethereum,USDT,621438.0644010003,621438.064401,USDT,621438.0644010003,159,3,24,17,24,0.2502685284640172,0.0053705692803437165,0.9999999999999997,False,0.635254691689008,-0.05814357960106764,True,False,,58.2,,0,[],[],0,False,False,,,58.6,False,Binance 16,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,244713.713948,5.0,True,83.2,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,53.0,6.62,False
0xbf8d7d490323d775ada8b20a35472acb7fc6a0c4,ethereum,USDT,48323.397908,48361.853853,USDT,48323.397908,98,19,23,11,12,0.028846153846153848,0.19230769230769232,1.000795803827231,False,0.7985003566608272,-0.03482229016047056,True,False,,58.1,,0,[],[],0,False,False,,,26.9,False,Binance 16,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,167.68305,3.0,True,83.1,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,5.16,4.26,False
0x94e6b7eadc659e4266d32e5b7be519f588d11d5e,tron,USDT,1782411.4336080006,1639014.0,USDT,1782411.4336080006,4057,2,5,6,7,0.24262059035277178,0.14830813534917206,0.919548634560915,False,0.8711333141357702,-0.1726148874941934,True,False,,81.9,,0,[],[],0,False,False,,,58.5,False,,,0.0,,False,81.9,2,142582.0,True,[],,False,2028.5,811.4,False
0x6c2c1922e27b85dab12128195fe71a0cb66cb5fd,tron,USDT,1639835.5395620004,1641877.0,USDT,1639835.5395620004,3353,3,15,8,11,0.12023686920700309,0.24613800205973224,1.0012449177912957,False,0.9269008935916181,-0.16101515517664822,True,False,,81.4,,0,[],[],0,False,False,,,44.1,False,,,0.0,,False,81.4,0,,False,[],,False,1117.67,223.53,False
0x61a8a99099a4d46124cf2914bd8eb8dfafd7c99d,ethereum,USDT,56963.19433099999,56798.809152,USDT,56963.19433099999,77,13,17,10,13,0.06172839506172839,0.19753086419753085,0.9971141860822483,False,0.7467418720689966,-0.01011751429986063,True,False,,52.4,,0,[],[],0,False,False,,,16.9,False,Binance 17,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,2241.35915,3.0,True,77.4,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,5.92,4.53,False
0x8b7710171181ec25ce9aa254eb074ec85559347b,ethereum,USDT,306202.7314080001,306202.7314,USDT,306202.7314080001,2439,2,25,5,24,0.6799037304452467,0.2647412755716005,0.9999999999738731,False,0.8309651474478578,-0.13577756277026953,True,False,,77.1,,0,[],[],0,False,False,,,67.5,False,,,0.0,,False,77.1,0,,False,[],,False,1219.5,97.56,False
0x66cc88e55236a6cbd43d6fdb6530455a8a8c37fb,tron,USDT,1302888.016986,1158091.68,USDT,1302888.016986,3892,6,21,8,24,0.34742740703005603,0.03871625063678044,0.8888650942381368,False,0.6698696609442695,-0.1692114749535446,True,False,,76.3,,0,[],[],0,False,False,,,65.9,False,,,0.0,,False,76.3,0,,False,[],,False,648.67,185.33,False
0x7015f1baa789e899509504ea23b27deae4c6ae4e,tron,USDT,1880114.7367179997,1849226.1456790003,USDT,1880114.7367179997,3147,4,24,8,21,0.09649952696310313,0.005991800693787449,0.9835709010541986,False,0.6665340000306595,-0.1686902762640038,True,False,,76.2,,0,[],[],0,False,False,,,41.1,False,,,0.0,,False,76.2,0,,False,[],,False,786.75,131.12,False
0x5da5a370ecaf1663b10a5ffadde833ddb58d2f1e,ethereum,USDT,1850000.0,1850000.0,USDT,1850000.0,1201,1,1,1,2,0.0,0.1440466278101582,1.0,False,0.9054959785522788,-0.11593775274018892,True,False,,75.4,,0,[],[],0,False,False,,,66.0,False,,,0.0,,False,75.4,0,,False,[],,False,1201.0,1201.0,True
0x2628cac51d5bffca6df89745dd829510bbe3b915,ethereum,USDT,168969.34402399996,168969.34402299998,USDT,168969.34402399996,124,5,11,9,24,0.2710926694329184,0.005532503457814661,0.9999999999940818,False,0.61179624664761,-0.017075226340180882,True,False,,50.3,,0,[],[],0,False,False,,,59.7,False,Binance 15,0x21a31ee1afc51d94c2efccaa2092ad1028285549,8826.232624999999,6.0,True,75.3,0,,False,"['AE', 'GLOBAL', 'MT', 'US']",exchange,True,24.8,11.27,False
0x2d6e4c55851f9350818ff93322036cb327d88979,tron,USDT,1406231.839239,1382561.8424,USDT,1406231.839239,2282,1,24,8,24,0.24177579048227404,0.14755669115298628,0.9831677848712276,False,0.6828333931740816,-0.15819228234232652,True,False,,74.9,,0,[],[],0,False,False,,,89.3,False,,,0.0,,False,74.9,0,,False,[],,False,2282.0,95.08,True
0x17f50305de363118d028999b02cd477ae056f474,tron,USDT,486540.32886800077,504037.78190000006,USDT,486540.32886800077,3968,1,16,6,23,0.5003686409437208,0.014254116490538215,1.0359630065460543,False,0.621677177560568,-0.1632882087231332,True,False,,74.2,,0,[],[],0,False,False,,,91.2,True,,,0.0,,False,74.2,0,,False,[],,False,3968.0,248.0,True
0x28f27d331cf4d6d064b9b6c7859f4e5b4d9bdc7f,tron,USDT,1074230.0864499998,1101322.34573,USDT,1074230.0864499998,3104,2,7,4,7,0.3262411347517731,0.004933703361085414,1.0252201643034704,False,0.6636701358534747,-0.1446717303039795,True,False,,72.2,,0,[],[],0,False,False,,,64.5,False,,,0.0,,False,72.2,0,,False,[],,False,1552.0,443.43,False
0x6438e3764fdc42366ef3c5fa19ca06851833ad4c,ethereum,USDT,1527153.769605,900000.0,USDT,1527153.769605,1711,2,18,4,7,0.14457252641690682,0.06147934678194044,0.5893316167060151,False,0.8344883072554121,-0.10671089946090273,True,False,,71.9,,0,[],[],0,False,False,,,64.1,False,,,0.0,,False,71.9,0,,False,[],,False,855.5,95.06,False
